ticker,sector,strategy,params_version,entry_date,exit_date,regime_entry,direction,holding_days,vol_entry,rsi_entry,dist_ma200,return_net,rand_return,edge,win
A,Health Care,ma_crossover,v1,2010-10-29,2011-08-24,haussier,1,299,0.013187,65.301314,0.104688,-0.050375,0.125151,-0.175527,0
A,Health Care,ma_crossover,v1,2012-02-27,2012-07-16,haussier,1,140,0.016197,55.206877,0.082635,-0.147079,0.060878,-0.207957,0
A,Health Care,ma_crossover,v1,2013-01-14,2014-10-17,haussier,1,641,0.014817,68.147457,0.114275,0.220206,0.232525,-0.012319,1
A,Health Care,ma_crossover,v1,2014-12-22,2015-02-05,haussier,1,45,0.016765,57.120468,0.039901,-0.054748,0.022541,-0.077289,0
A,Health Care,ma_crossover,v1,2015-03-27,2015-07-20,haussier,1,115,0.012597,49.221388,0.017697,-0.024079,0.030199,-0.054278,0
A,Health Care,ma_crossover,v1,2015-12-29,2016-02-29,haussier,1,62,0.014537,62.824082,0.07762,-0.116745,0.027486,-0.144231,0
A,Health Care,ma_crossover,v1,2016-04-06,2018-05-21,haussier,1,775,0.014664,58.44592,0.056988,0.658906,0.317358,0.341548,1
A,Health Care,ma_crossover,v1,2018-09-28,2019-07-10,haussier,1,285,0.008635,64.838904,0.053374,0.04829,0.088409,-0.040118,1
A,Health Care,ma_crossover,v1,2019-10-24,2020-04-09,haussier,1,168,0.014555,51.123687,0.013254,0.04822,0.066644,-0.018424,1
A,Health Care,ma_crossover,v1,2020-06-04,2022-01-27,haussier,1,602,0.016191,73.871986,0.161084,0.463775,0.237057,0.226718,1
A,Health Care,ma_crossover,v1,2022-10-04,2023-04-26,baissier,1,204,0.021916,56.202396,0.00667,0.01516,0.064476,-0.049316,1
A,Health Care,ma_crossover,v1,2024-01-04,2024-08-07,haussier,1,216,0.01835,47.676769,0.07124,0.025132,0.081698,-0.056566,1
A,Health Care,ma_crossover,v1,2024-09-18,2024-11-20,haussier,1,63,0.008904,52.438695,0.014266,-0.074556,0.015057,-0.089613,0
A,Health Care,ma_crossover,v1,2025-01-27,2025-03-25,haussier,1,57,0.01282,71.938841,0.096328,-0.202507,0.023937,-0.226444,0
A,Health Care,ma_crossover,v1,2025-10-06,2026-03-17,haussier,1,162,0.023938,75.234256,0.156404,-0.203174,0.08001,-0.283183,0
A,Health Care,rsi_classic,v1,2010-02-01,2010-03-08,indetermine,1,35,,30.672054,,0.13172,0.016169,0.115551,1
A,Health Care,rsi_classic,v1,2010-07-07,2010-10-04,indetermine,1,89,0.020545,35.309101,,0.139567,0.02728,0.112287,1
A,Health Care,rsi_classic,v1,2011-08-11,2012-01-20,baissier,1,162,0.04297,30.077016,-0.209925,0.186874,0.07829,0.108584,1
A,Health Care,rsi_classic,v1,2014-10-17,2015-12-01,baissier,1,410,0.015612,33.559235,-0.075076,0.108445,0.18591,-0.077465,1
A,Health Care,rsi_classic,v1,2018-02-09,2018-09-24,haussier,1,227,0.018203,37.333742,0.046196,0.048152,0.103576,-0.055425,1
A,Health Care,rsi_classic,v1,2018-10-25,2018-12-04,baissier,1,40,0.018311,34.890393,-0.06227,0.163346,0.014953,0.148393,1
A,Health Care,rsi_classic,v1,2019-05-16,2019-07-02,haussier,1,47,0.03022,32.408952,-0.029951,0.092362,0.012844,0.079518,1
A,Health Care,rsi_classic,v1,2019-08-06,2019-09-16,haussier,1,41,0.013716,39.079178,-0.062701,0.13912,0.008322,0.130798,1
A,Health Care,rsi_classic,v1,2020-03-02,2020-06-09,haussier,1,99,0.022626,47.06464,0.073817,0.096846,0.04438,0.052466,1
A,Health Care,rsi_classic,v1,2021-10-07,2022-11-23,haussier,1,412,0.014671,31.061572,0.109153,0.005592,0.172573,-0.166981,1
A,Health Care,rsi_classic,v1,2023-03-02,2023-12-08,haussier,1,281,0.015373,38.417173,0.039853,-0.098045,0.110132,-0.208177,0
A,Health Care,rsi_classic,v1,2024-06-05,2025-01-28,haussier,1,237,0.026339,35.469655,0.0338,0.130477,0.080798,0.04968,1
A,Health Care,rsi_classic,v1,2025-03-05,2025-10-07,haussier,1,216,0.017158,31.718297,-0.080362,0.100994,0.097152,0.003842,1
A,Health Care,rsi_classic,v1,2026-02-13,2026-06-08,haussier,1,115,0.017415,32.006283,-0.022217,0.056035,0.038651,0.017384,1
A,Health Care,rsi_strict,v1,2010-02-01,2011-01-19,indetermine,1,352,,30.672054,,0.455118,0.145357,0.309761,1
A,Health Care,rsi_strict,v1,2011-08-03,2013-09-23,baissier,1,782,0.021578,20.911635,-0.10268,0.337491,0.31925,0.018241,1
A,Health Care,rsi_strict,v1,2015-08-26,2017-06-05,baissier,1,649,0.017927,31.973511,-0.121715,0.726478,0.260893,0.465585,1
A,Health Care,rsi_trend,v1,2018-02-09,2018-09-24,haussier,1,227,0.018203,37.333742,0.046196,0.048152,0.093511,-0.045359,1
A,Health Care,rsi_trend,v1,2020-03-02,2020-06-09,haussier,1,99,0.022626,47.06464,0.073817,0.096846,0.035255,0.061591,1
A,Health Care,rsi_trend,v1,2021-10-07,2022-11-23,haussier,1,412,0.014671,31.061572,0.109153,0.005592,0.178997,-0.173405,1
A,Health Care,rsi_trend,v1,2023-03-02,2023-12-08,haussier,1,281,0.015373,38.417173,0.039853,-0.098045,0.12731,-0.225354,0
A,Health Care,rsi_trend,v1,2024-06-05,2025-01-28,haussier,1,237,0.026339,35.469655,0.0338,0.130477,0.104958,0.02552,1
