chamber,politician,ticker,transaction,amount,date,disclosure_date
Senate,Sheldon Whitehouse,COHR,Purchase,"$15,001 - $50,000",2026-06-25,2026-07-08
Senate,Sheldon Whitehouse,MU,Purchase,"$1,001 - $15,000",2026-06-25,2026-07-08
Senate,Sheldon Whitehouse,CCI,Sale,"$1,001 - $15,000",2026-06-25,2026-07-08
Senate,Sheldon Whitehouse,AAPL,Sale,"$15,001 - $50,000",2026-06-24,2026-07-08
Senate,Sheldon Whitehouse,NVDA,Sale,"$15,001 - $50,000",2026-06-30,2026-07-08
Senate,Sheldon Whitehouse,AAPL,Sale,"$15,001 - $50,000",2026-06-24,2026-07-08
Senate,Shelley Moore Capito,C,Sale,"$1,001 - $15,000",2026-06-16,2026-07-06
Senate,Gary Peters,T,Purchase,"$1,001 - $15,000",2026-06-29,2026-07-02
Senate,Mitch McConnell,WFC,Purchase,"$1,001 - $15,000",2026-06-01,2026-06-30
Senate,John Curtis,UBS,Purchase,"$100,001 - $250,000",2026-06-02,2026-06-30
Senate,Dave McCormick,GS,Purchase,"$100,001 - $250,000",2026-06-02,2026-06-27
Senate,Dave McCormick,GS,Purchase,"$100,001 - $250,000",2026-05-27,2026-06-27
Senate,Jerry Moran,GOOGL,Sale,"$1,001 - $15,000",2026-05-27,2026-06-25
Senate,John Boozman,ALB,Purchase,"$1,001 - $15,000",2026-05-15,2026-06-16
Senate,John Boozman,SCHP,Purchase,"$1,001 - $15,000",2026-05-27,2026-06-16
Senate,John Boozman,MBB,Sale,"$1,001 - $15,000",2026-05-13,2026-06-16
Senate,John Boozman,MBB,Purchase,"$1,001 - $15,000",2026-05-27,2026-06-16
Senate,John Boozman,ACN,Sale,"$1,001 - $15,000",2026-05-15,2026-06-16
Senate,John Boozman,IVV,Sale,"$1,001 - $15,000",2026-05-27,2026-06-16
House,Ro Khanna,UBER,Purchase,"$1,001 - $15,000",2026-06-15,2026-07-08
House,April Delaney,MIDD,Sale,"$1,001 - $15,000",2026-06-12,2026-07-08
House,Ro Khanna,CTAS,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,ROK,Sale,"$1,001 - $15,000",2026-06-05,2026-07-08
House,Ro Khanna,ODFL,Purchase,"$1,001 - $15,000",2026-06-05,2026-07-08
House,Ro Khanna,AVGO,Purchase,"$15,001 - $50,000",2026-06-05,2026-07-08
House,Ro Khanna,USB,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,April Delaney,MIDD,Sale,"$1,001 - $15,000",2026-06-15,2026-07-08
House,Ro Khanna,AJG,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,WMT,Purchase,"$1,001 - $15,000",2026-06-05,2026-07-08
House,April Delaney,WAB,Sale,"$1,001 - $15,000",2026-06-10,2026-07-08
House,Ro Khanna,JPM,Purchase,"$1,001 - $15,000",2026-06-01,2026-07-08
House,Ro Khanna,TMUS,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,KMB,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,AMGN,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,BMO,Purchase,"$15,001 - $50,000",2026-06-24,2026-07-08
House,Ro Khanna,GEHC,Purchase,"$1,001 - $15,000",2026-06-30,2026-07-08
House,Ro Khanna,C,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,KO,Sale,"$1,001 - $15,000",2026-06-05,2026-07-08
House,Ro Khanna,ABT,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,AMZN,Purchase,"$1,001 - $15,000",2026-06-05,2026-07-08
House,April Delaney,ENTG,Purchase,"$1,001 - $15,000",2026-06-08,2026-07-08
House,Ro Khanna,URI,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,CVS,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
House,Ro Khanna,SHW,Purchase,"$1,001 - $15,000",2026-06-02,2026-07-08
