signal,evenement_id,ticker,date,sens,secteur,intensite
congres,John Boozman|ALB|2026-06-16,ALB,2026-06-16,achat,Materials,1.0
congres,John Boozman|SCHP|2026-06-16,SCHP,2026-06-16,achat,,1.0
congres,John Boozman|MBB|2026-06-16,MBB,2026-06-16,vente,,1.0
congres,John Boozman|MBB|2026-06-16,MBB,2026-06-16,achat,,1.0
congres,John Boozman|ACN|2026-06-16,ACN,2026-06-16,vente,Information Technology,1.0
congres,John Boozman|IVV|2026-06-16,IVV,2026-06-16,vente,,1.0
congres,Jerry Moran|GOOGL|2026-06-25,GOOGL,2026-06-25,vente,Communication Services,1.0
congres,Dave McCormick|GS|2026-06-27,GS,2026-06-27,achat,Financials,1.0
congres,Mitch McConnell|WFC|2026-06-30,WFC,2026-06-30,achat,Financials,1.0
congres,John Curtis|UBS|2026-06-30,UBS,2026-06-30,achat,,1.0
congres,Gary Peters|T|2026-07-02,T,2026-07-02,achat,Communication Services,1.0
congres,Shelley Moore Capito|C|2026-07-06,C,2026-07-06,vente,Financials,1.0
congres,Sheldon Whitehouse|COHR|2026-07-08,COHR,2026-07-08,achat,Information Technology,1.0
congres,Sheldon Whitehouse|MU|2026-07-08,MU,2026-07-08,achat,Information Technology,1.0
congres,Sheldon Whitehouse|CCI|2026-07-08,CCI,2026-07-08,vente,Real Estate,1.0
congres,Sheldon Whitehouse|AAPL|2026-07-08,AAPL,2026-07-08,vente,Information Technology,1.0
congres,Sheldon Whitehouse|NVDA|2026-07-08,NVDA,2026-07-08,vente,Information Technology,1.0
congres,Ro Khanna|UBER|2026-07-08,UBER,2026-07-08,achat,Industrials,1.0
congres,April Delaney|MIDD|2026-07-08,MIDD,2026-07-08,vente,,1.0
congres,Ro Khanna|CTAS|2026-07-08,CTAS,2026-07-08,achat,Industrials,1.0
congres,Ro Khanna|ROK|2026-07-08,ROK,2026-07-08,vente,Industrials,1.0
congres,Ro Khanna|ODFL|2026-07-08,ODFL,2026-07-08,achat,Industrials,1.0
congres,Ro Khanna|AVGO|2026-07-08,AVGO,2026-07-08,achat,Information Technology,1.0
congres,Ro Khanna|USB|2026-07-08,USB,2026-07-08,achat,Financials,1.0
congres,Ro Khanna|AJG|2026-07-08,AJG,2026-07-08,achat,Financials,1.0
congres,Ro Khanna|WMT|2026-07-08,WMT,2026-07-08,achat,Consumer Staples,1.0
congres,April Delaney|WAB|2026-07-08,WAB,2026-07-08,vente,Industrials,1.0
congres,Ro Khanna|JPM|2026-07-08,JPM,2026-07-08,achat,Financials,1.0
congres,Ro Khanna|TMUS|2026-07-08,TMUS,2026-07-08,achat,Communication Services,1.0
congres,Ro Khanna|KMB|2026-07-08,KMB,2026-07-08,achat,Consumer Staples,1.0
congres,Ro Khanna|AMGN|2026-07-08,AMGN,2026-07-08,achat,Health Care,1.0
congres,Ro Khanna|BMO|2026-07-08,BMO,2026-07-08,achat,,1.0
congres,Ro Khanna|GEHC|2026-07-08,GEHC,2026-07-08,achat,Health Care,1.0
congres,Ro Khanna|C|2026-07-08,C,2026-07-08,achat,Financials,1.0
congres,Ro Khanna|KO|2026-07-08,KO,2026-07-08,vente,Consumer Staples,1.0
congres,Ro Khanna|ABT|2026-07-08,ABT,2026-07-08,achat,Health Care,1.0
congres,Ro Khanna|AMZN|2026-07-08,AMZN,2026-07-08,achat,Consumer Discretionary,1.0
congres,April Delaney|ENTG|2026-07-08,ENTG,2026-07-08,achat,,1.0
congres,Ro Khanna|URI|2026-07-08,URI,2026-07-08,achat,Industrials,1.0
congres,Ro Khanna|CVS|2026-07-08,CVS,2026-07-08,achat,Health Care,1.0
congres,Ro Khanna|SHW|2026-07-08,SHW,2026-07-08,achat,Materials,1.0
contrat,N0002410C2229,HII,2010-06-30,attribution,Industrials,2704759379.0
contrat,N0001910C0002,LMT,2010-07-06,attribution,Industrials,4993929468.3
contrat,FA880810C0001,BA,2010-08-19,attribution,Industrials,3127786036.39
contrat,N0002411C2300,LMT,2010-12-29,attribution,Industrials,4980508595.15
contrat,N0001911C0020,LMT,2011-01-05,attribution,Industrials,1589570893.76
contrat,FA862511C6600,BA,2011-02-24,attribution,Industrials,31972918249.03
contrat,HT940211C0003,HUM,2011-03-03,attribution,Health Care,20451127096.53
contrat,HQ014711C0006,NOC,2011-03-07,attribution,Industrials,1510737189.71
contrat,FA862511C6597,LMT,2011-03-14,attribution,Industrials,4410630126.34
contrat,DESC0004645,NUE,2011-04-29,attribution,Materials,3900788934.07
contrat,0006,BA,2011-05-13,attribution,Industrials,1655050154.0
contrat,N0001911C0083,LMT,2011-08-08,attribution,Industrials,7186135705.16
contrat,0001,BA,2011-10-01,attribution,Industrials,3679519282.56
contrat,FA861512C6012,LMT,2011-12-02,attribution,Industrials,1504761364.98
contrat,NSFDACS1219442,LDOS,2011-12-23,attribution,Industrials,3088721029.93
contrat,N0001912C2001,BA,2011-12-29,attribution,Industrials,7337457221.95
contrat,HQ014712C0004,BA,2011-12-30,attribution,Industrials,6466627868.26
contrat,FA862512C6598,NOC,2012-02-17,attribution,Industrials,1603584166.83
contrat,FA863412C2651,BA,2012-03-08,attribution,Industrials,11204226412.65
contrat,HT940212C0001,UNH,2012-03-20,attribution,Health Care,13145560374.49
contrat,FA880812C0010,LMT,2012-05-15,attribution,Industrials,2011989206.93
contrat,N0001912C0004,LMT,2012-06-15,attribution,Industrials,5597451611.0
contrat,FA850512C0001,BA,2012-06-22,attribution,Industrials,2806532949.46
contrat,N0003012C0101,LMT,2012-07-06,attribution,Industrials,1676646362.0
contrat,N0001912C0112,BA,2012-08-31,attribution,Industrials,5544117634.23
contrat,FA861512C6016,LMT,2012-09-28,attribution,Industrials,2881255653.08
contrat,0005,BA,2012-10-01,attribution,Industrials,2285494120.08
contrat,FA881013C0001,LMT,2013-02-19,attribution,Industrials,2491233025.25
contrat,N0001913C0008,LMT,2013-02-28,attribution,Industrials,6035358369.47
contrat,N0002413C5116,LMT,2013-03-04,attribution,Industrials,1812244593.06
contrat,FA881013C0002,LMT,2013-03-15,attribution,Industrials,2194921223.67
contrat,N0002413C2108,HII,2013-03-29,attribution,Industrials,2676691465.0
contrat,N0001913C0023,TXT,2013-04-01,attribution,Industrials,1782171428.98
contrat,HSCG2313CADB014,HII,2013-04-30,attribution,Industrials,1654352379.0
contrat,W31P4Q13C0129,LMT,2013-05-17,attribution,Industrials,1415941922.87
contrat,N0001913C9999,NOC,2013-05-20,attribution,Industrials,5375141527.12
contrat,N0002413C2307,HII,2013-06-03,attribution,Industrials,3345822881.0
contrat,W58RGZ13C0002,BA,2013-06-10,attribution,Industrials,4864238445.89
contrat,W15QKN13C0074,NOC,2013-08-30,attribution,Industrials,1490942764.8
contrat,FA880214C0001,GE,2013-10-01,attribution,Industrials,4288177894.35
contrat,FA862514C6450,LMT,2013-12-09,attribution,Industrials,5934097111.63
contrat,W31P4Q14C0034,LMT,2013-12-31,attribution,Industrials,4241697570.25
contrat,N0001914C0002,LMT,2014-03-26,attribution,Industrials,6998362070.51
contrat,HHSD200201458150C,MRK,2014-03-27,attribution,Health Care,1480605083.86
contrat,W58RGZ14C0018,BA,2014-04-24,attribution,Industrials,1491571063.47
contrat,N0001914C0004,RTX,2014-05-02,attribution,Industrials,1540870365.89
contrat,N0001914C0032,BA,2014-06-30,attribution,Industrials,3154449062.9
contrat,N0001914C0067,BA,2014-08-14,attribution,Industrials,18111838529.78
contrat,N0001915C0031,LMT,2014-10-28,attribution,Industrials,1764499475.16
contrat,EDFSA15C0006,ACN,2015-03-05,attribution,Information Technology,1507684723.07
contrat,N0001915C0004,RTX,2015-04-30,attribution,Industrials,2213245788.81
contrat,N0001915C0003,LMT,2015-06-04,attribution,Industrials,10550927664.07
contrat,N0002415C2114,HII,2015-06-05,attribution,Industrials,4504997386.12
contrat,N0003015C0100,LMT,2015-07-07,attribution,Industrials,1533695409.0
contrat,DENA0002839,HON,2015-07-09,attribution,Industrials,17488650862.28
contrat,N0002415C4301,HII,2015-08-14,attribution,Industrials,1514555869.0
contrat,N0001915C0114,LMT,2015-08-31,attribution,Industrials,1621042892.68
contrat,NNH15CN76C,NOC,2015-09-03,attribution,Industrials,1614792955.3
contrat,W31P4Q15C0151,LMT,2015-09-15,attribution,Industrials,1841506960.81
